CUSIP,bidprice1,quantity,bidprice2,quantity,bidprice3,quantity,bidprice4,quantity,bidprice5,quantity,offerprice1,quantity,offerprice2,quantity,offerprice3,quantity,offerprice4,quantity,offerprice5,quantity,
3137EAED7,100-162,1000000,100-161,2000000,100-160,3000000,100-157,4000000,100-156,5000000,100-16+,1000000,100-165,2000000,100-166,3000000,100-167,4000000,100-170,5000000,
3137EAEB1,99-161,1000000,99-160,2000000,99-157,3000000,99-156,4000000,99-155,5000000,99-163,1000000,99-16+,2000000,99-165,3000000,99-166,4000000,99-167,5000000,
3137EAEC9,100-182,1000000,100-181,2000000,100-180,3000000,100-177,4000000,100-176,5000000,100-18+,1000000,100-185,2000000,100-186,3000000,100-187,4000000,100-190,5000000,
3137EADB2,100-121,1000000,100-120,2000000,100-117,3000000,100-116,4000000,100-115,5000000,100-123,1000000,100-12+,2000000,100-125,3000000,100-126,4000000,100-127,5000000,
3134A3U46,99-282,1000000,99-281,2000000,99-280,3000000,99-277,4000000,99-276,5000000,99-28+,1000000,99-285,2000000,99-286,3000000,99-287,4000000,99-290,5000000,
3134A4KX1,100-077,1000000,100-076,2000000,100-075,3000000,100-07+,4000000,100-073,5000000,100-081,1000000,100-082,2000000,100-083,3000000,100-08+,4000000,100-085,5000000,
3137EAED7,100-173,1000000,100-172,2000000,100-171,3000000,100-170,4000000,100-167,5000000,100-175,1000000,100-176,2000000,100-177,3000000,100-180,4000000,100-181,5000000,
3137EAEB1,100-272,1000000,100-271,2000000,100-270,3000000,100-267,4000000,100-266,5000000,100-27+,1000000,100-275,2000000,100-276,3000000,100-277,4000000,100-280,5000000,
3137EAEC9,99-17+,1000000,99-173,2000000,99-172,3000000,99-171,4000000,99-170,5000000,99-176,1000000,99-177,2000000,99-180,3000000,99-181,4000000,99-182,5000000,
3137EADB2,99-020,1000000,99-017,2000000,99-016,3000000,99-015,4000000,99-01+,5000000,99-022,1000000,99-023,2000000,99-02+,3000000,99-025,4000000,99-026,5000000,
3134A3U46,100-055,1000000,100-05+,2000000,100-053,3000000,100-052,4000000,100-051,5000000,100-057,1000000,100-060,2000000,100-061,3000000,100-062,4000000,100-063,5000000,
3134A4KX1,100-256,1000000,100-255,2000000,100-25+,3000000,100-253,4000000,100-252,5000000,100-260,1000000,100-261,2000000,100-262,3000000,100-263,4000000,100-26+,5000000,
3137EAED7,100-057,1000000,100-056,2000000,100-055,3000000,100-05+,4000000,100-053,5000000,100-061,1000000,100-062,2000000,100-063,3000000,100-06+,4000000,100-065,5000000,
3137EAEB1,99-271,1000000,99-270,2000000,99-267,3000000,99-266,4000000,99-265,5000000,99-273,1000000,99-27+,2000000,99-275,3000000,99-276,4000000,99-277,5000000,
3137EAEC9,100-141,1000000,100-140,2000000,100-137,3000000,100-136,4000000,100-135,5000000,100-143,1000000,100-14+,2000000,100-145,3000000,100-146,4000000,100-147,5000000,
3137EADB2,99-053,1000000,99-052,2000000,99-051,3000000,99-050,4000000,99-047,5000000,99-055,1000000,99-056,2000000,99-057,3000000,99-060,4000000,99-061,5000000,
3134A3U46,100-04+,1000000,100-043,2000000,100-042,3000000,100-041,4000000,100-040,5000000,100-046,1000000,100-047,2000000,100-050,3000000,100-051,4000000,100-052,5000000,
3134A4KX1,99-002,1000000,99-001,2000000,99-000,3000000,99-00-1,4000000,99-00-2,5000000,99-00+,1000000,99-005,2000000,99-006,3000000,99-007,4000000,99-010,5000000,
3137EAED7,99-087,1000000,99-086,2000000,99-085,3000000,99-08+,4000000,99-083,5000000,99-091,1000000,99-092,2000000,99-093,3000000,99-09+,4000000,99-095,5000000,
3137EAEB1,99-061,1000000,99-060,2000000,99-057,3000000,99-056,4000000,99-055,5000000,99-063,1000000,99-06+,2000000,99-065,3000000,99-066,4000000,99-067,5000000,
3137EAEC9,100-132,1000000,100-131,2000000,100-130,3000000,100-127,4000000,100-126,5000000,100-13+,1000000,100-135,2000000,100-136,3000000,100-137,4000000,100-140,5000000,
3137EADB2,99-205,1000000,99-20+,2000000,99-203,3000000,99-202,4000000,99-201,5000000,99-207,1000000,99-210,2000000,99-211,3000000,99-212,4000000,99-213,5000000,
3134A3U46,99-23+,1000000,99-233,2000000,99-232,3000000,99-231,4000000,99-230,5000000,99-236,1000000,99-237,2000000,99-240,3000000,99-241,4000000,99-242,5000000,
3134A4KX1,99-12+,1000000,99-123,2000000,99-122,3000000,99-121,4000000,99-120,5000000,99-126,1000000,99-127,2000000,99-130,3000000,99-131,4000000,99-132,5000000,
3137EAED7,100-253,1000000,100-252,2000000,100-251,3000000,100-250,4000000,100-247,5000000,100-255,1000000,100-256,2000000,100-257,3000000,100-260,4000000,100-261,5000000,
3137EAEB1,99-260,1000000,99-257,2000000,99-256,3000000,99-255,4000000,99-25+,5000000,99-262,1000000,99-263,2000000,99-26+,3000000,99-265,4000000,99-266,5000000,
3137EAEC9,100-133,1000000,100-132,2000000,100-131,3000000,100-130,4000000,100-127,5000000,100-135,1000000,100-136,2000000,100-137,3000000,100-140,4000000,100-141,5000000,
3137EADB2,99-103,1000000,99-102,2000000,99-101,3000000,99-100,4000000,99-097,5000000,99-105,1000000,99-106,2000000,99-107,3000000,99-110,4000000,99-111,5000000,
3134A3U46,100-066,1000000,100-065,2000000,100-06+,3000000,100-063,4000000,100-062,5000000,100-070,1000000,100-071,2000000,100-072,3000000,100-073,4000000,100-07+,5000000,
3134A4KX1,100-05+,1000000,100-053,2000000,100-052,3000000,100-051,4000000,100-050,5000000,100-056,1000000,100-057,2000000,100-060,3000000,100-061,4000000,100-062,5000000,
3137EAED7,100-316,1000000,100-315,2000000,100-31+,3000000,100-313,4000000,100-312,5000000,101-000,1000000,101-001,2000000,101-002,3000000,101-003,4000000,101-00+,5000000,
3137EAEB1,100-006,1000000,100-005,2000000,100-00+,3000000,100-003,4000000,100-002,5000000,100-010,1000000,100-011,2000000,100-012,3000000,100-013,4000000,100-01+,5000000,
3137EAEC9,100-040,1000000,100-037,2000000,100-036,3000000,100-035,4000000,100-03+,5000000,100-042,1000000,100-043,2000000,100-04+,3000000,100-045,4000000,100-046,5000000,
3137EADB2,100-307,1000000,100-306,2000000,100-305,3000000,100-30+,4000000,100-303,5000000,100-311,1000000,100-312,2000000,100-313,3000000,100-31+,4000000,100-315,5000000,
3134A3U46,99-066,1000000,99-065,2000000,99-06+,3000000,99-063,4000000,99-062,5000000,99-070,1000000,99-071,2000000,99-072,3000000,99-073,4000000,99-07+,5000000,
3134A4KX1,100-146,1000000,100-145,2000000,100-14+,3000000,100-143,4000000,100-142,5000000,100-150,1000000,100-151,2000000,100-152,3000000,100-153,4000000,100-15+,5000000,
3137EAED7,99-270,1000000,99-267,2000000,99-266,3000000,99-265,4000000,99-26+,5000000,99-272,1000000,99-273,2000000,99-27+,3000000,99-275,4000000,99-276,5000000,
3137EAEB1,100-230,1000000,100-227,2000000,100-226,3000000,100-225,4000000,100-22+,5000000,100-232,1000000,100-233,2000000,100-23+,3000000,100-235,4000000,100-236,5000000,
3137EAEC9,100-051,1000000,100-050,2000000,100-047,3000000,100-046,4000000,100-045,5000000,100-053,1000000,100-05+,2000000,100-055,3000000,100-056,4000000,100-057,5000000,
3137EADB2,99-077,1000000,99-076,2000000,99-075,3000000,99-07+,4000000,99-073,5000000,99-081,1000000,99-082,2000000,99-083,3000000,99-08+,4000000,99-085,5000000,
3134A3U46,99-105,1000000,99-10+,2000000,99-103,3000000,99-102,4000000,99-101,5000000,99-107,1000000,99-110,2000000,99-111,3000000,99-112,4000000,99-113,5000000,
3134A4KX1,99-135,1000000,99-13+,2000000,99-133,3000000,99-132,4000000,99-131,5000000,99-137,1000000,99-140,2000000,99-141,3000000,99-142,4000000,99-143,5000000,
3137EAED7,99-16+,1000000,99-163,2000000,99-162,3000000,99-161,4000000,99-160,5000000,99-166,1000000,99-167,2000000,99-170,3000000,99-171,4000000,99-172,5000000,
3137EAEB1,100-10+,1000000,100-103,2000000,100-102,3000000,100-101,4000000,100-100,5000000,100-106,1000000,100-107,2000000,100-110,3000000,100-111,4000000,100-112,5000000,
3137EAEC9,100-191,1000000,100-190,2000000,100-187,3000000,100-186,4000000,100-185,5000000,100-193,1000000,100-19+,2000000,100-195,3000000,100-196,4000000,100-197,5000000,
