CUSIP,mid,bidofferspread
3137EAED7,99-270,0-003
3137EAEB1,99-015,0-002
3137EAEC9,99-260,0-00+
3137EADB2,99-21+,0-00+
3134A3U46,99-307,0-002
3134A4KX1,99-127,0-00+
3137EAED7,99-187,0-003
3137EAEB1,100-207,0-003
3137EAEC9,99-085,0-002
3137EADB2,99-125,0-003
3134A3U46,100-012,0-003
3134A4KX1,99-225,0-002
3137EAED7,99-211,0-002
3137EAEB1,99-28+,0-00+
3137EAEC9,99-090,0-002
3137EADB2,99-15+,0-002
3134A3U46,100-122,0-002
3134A4KX1,99-11+,0-00+
3137EAED7,99-256,0-002
3137EAEB1,100-26+,0-00+
3137EAEC9,99-100,0-002
3137EADB2,99-066,0-00+
3134A3U46,99-165,0-003
3134A4KX1,99-165,0-003
3137EAED7,99-123,0-002
3137EAEB1,99-311,0-00+
3137EAEC9,100-175,0-002
3137EADB2,99-161,0-003
3134A3U46,99-182,0-00+
3134A4KX1,100-25+,0-002
3137EAED7,100-136,0-002
3137EAEB1,100-15+,0-00+
3137EAEC9,100-017,0-002
3137EADB2,100-261,0-00+
3134A3U46,99-006,0-002
3134A4KX1,100-141,0-003
3137EAED7,99-292,0-002
3137EAEB1,100-197,0-002
3137EAEC9,99-041,0-00+
3137EADB2,99-23+,0-003
3134A3U46,99-065,0-00+
3134A4KX1,99-083,0-00+
3137EAED7,100-311,0-002
3137EAEB1,100-281,0-003
3137EAEC9,100-202,0-002
3137EADB2,99-152,0-00+
3134A3U46,99-267,0-002
3134A4KX1,100-20+,0-003
3137EAED7,99-217,0-002
3137EAEB1,99-237,0-00+
3137EAEC9,99-12+,0-003
3137EADB2,99-027,0-002
3134A3U46,99-175,0-00+
3134A4KX1,100-245,0-00+
3137EAED7,100-156,0-003
3137EAEB1,99-031,0-002
3137EAEC9,99-105,0-003
3137EADB2,100-207,0-002
3134A3U46,100-211,0-003
3134A4KX1,100-097,0-002
3137EAED7,99-277,0-00+
3137EAEB1,99-247,0-002
3137EAEC9,100-145,0-002
3137EADB2,100-270,0-003
3134A3U46,100-226,0-003
3134A4KX1,99-072,0-00+
3137EAED7,100-08+,0-002
3137EAEB1,100-011,0-003
3137EAEC9,99-045,0-003
3137EADB2,100-262,0-002
3134A3U46,99-20+,0-003
3134A4KX1,100-220,0-003
3137EAED7,99-121,0-00+
3137EAEB1,100-027,0-00+
3137EAEC9,99-152,0-003
3137EADB2,100-220,0-003
3134A3U46,100-23+,0-003
3134A4KX1,99-231,0-003
3137EAED7,99-205,0-00+
3137EAEB1,99-162,0-003
3137EAEC9,99-163,0-003
3137EADB2,100-25+,0-003
3134A3U46,100-106,0-003
3134A4KX1,99-301,0-00+
3137EAED7,100-306,0-00+
3137EAEB1,100-142,0-003
3137EAEC9,100-05+,0-002
3137EADB2,100-060,0-00+
3134A3U46,99-06+,0-002
3134A4KX1,100-07+,0-00+
3137EAED7,99-172,0-002
3137EAEB1,100-100,0-00+
3137EAEC9,99-143,0-002
3137EADB2,99-161,0-002
3134A3U46,99-166,0-00+
3134A4KX1,99-145,0-002
3137EAED7,99-04+,0-00+
3137EAEB1,100-310,0-002
3137EAEC9,99-100,0-00+
3137EADB2,100-27+,0-002
3134A3U46,100-210,0-002
3134A4KX1,99-065,0-003
3137EAED7,100-126,0-002
3137EAEB1,99-246,0-00+
3137EAEC9,100-055,0-00+
3137EADB2,100-02+,0-00+
3134A3U46,100-297,0-00+
3134A4KX1,99-137,0-002
3137EAED7,100-062,0-00+
3137EAEB1,100-313,0-002
3137EAEC9,99-197,0-002
3137EADB2,99-172,0-00+
3134A3U46,99-265,0-002
3134A4KX1,99-300,0-00+
3137EAED7,99-157,0-003
3137EAEB1,99-311,0-00+
3137EAEC9,99-150,0-003
3137EADB2,99-033,0-003
3134A3U46,99-275,0-003
3134A4KX1,99-111,0-00+
3137EAED7,100-312,0-00+
3137EAEB1,100-27+,0-00+
3137EAEC9,100-186,0-003
3137EADB2,99-15+,0-002
3134A3U46,99-070,0-00+
