CUSIP,Trade_ID,Book,Price,Quantity,Side
3137EAED7,T1,TRSY3,100-182,9000000,BUY
3137EAED7,T2,TRSY3,100-17+,7000000,SELL
3137EAED7,T3,TRSY3,99-156,8000000,BUY
3137EAED7,T4,TRSY2,100-306,7000000,BUY
3137EAED7,T5,TRSY3,100-062,5000000,BUY
3137EAED7,T6,TRSY1,100-193,9000000,BUY
3137EAED7,T7,TRSY3,99-312,6000000,BUY
3137EAED7,T8,TRSY1,100-296,2000000,BUY
3137EAED7,T9,TRSY1,99-202,2000000,SELL
3137EAED7,T10,TRSY1,100-265,3000000,BUY
3137EAEB1,T11,TRSY2,100-165,7000000,BUY
3137EAEB1,T12,TRSY3,99-14+,8000000,SELL
3137EAEB1,T13,TRSY3,99-113,4000000,SELL
3137EAEB1,T14,TRSY2,99-295,8000000,SELL
3137EAEB1,T15,TRSY3,99-145,9000000,BUY
3137EAEB1,T16,TRSY1,100-297,7000000,BUY
3137EAEB1,T17,TRSY2,100-303,8000000,BUY
3137EAEB1,T18,TRSY2,99-243,6000000,SELL
3137EAEB1,T19,TRSY3,99-095,7000000,SELL
3137EAEB1,T20,TRSY2,99-145,3000000,BUY
3137EAEC9,T21,TRSY3,99-017,1000000,SELL
3137EAEC9,T22,TRSY3,100-065,6000000,SELL
3137EAEC9,T23,TRSY3,99-063,8000000,BUY
3137EAEC9,T24,TRSY1,100-042,4000000,BUY
3137EAEC9,T25,TRSY3,100-15+,3000000,SELL
3137EAEC9,T26,TRSY1,99-03+,4000000,SELL
3137EAEC9,T27,TRSY3,99-253,6000000,BUY
3137EAEC9,T28,TRSY3,99-060,8000000,BUY
3137EAEC9,T29,TRSY3,99-245,1000000,BUY
3137EAEC9,T30,TRSY2,100-136,8000000,SELL
3137EADB2,T31,TRSY2,99-073,2000000,SELL
3137EADB2,T32,TRSY2,99-266,5000000,SELL
3137EADB2,T33,TRSY1,100-142,1000000,SELL
3137EADB2,T34,TRSY3,99-221,9000000,BUY
3137EADB2,T35,TRSY1,100-260,2000000,SELL
3137EADB2,T36,TRSY2,100-135,9000000,SELL
3137EADB2,T37,TRSY2,99-111,7000000,BUY
3137EADB2,T38,TRSY3,100-313,8000000,SELL
3137EADB2,T39,TRSY1,100-052,1000000,SELL
3137EADB2,T40,TRSY3,100-277,1000000,SELL
3134A3U46,T41,TRSY3,100-160,8000000,SELL
3134A3U46,T42,TRSY1,100-307,8000000,SELL
3134A3U46,T43,TRSY2,99-113,9000000,BUY
3134A3U46,T44,TRSY1,99-24+,5000000,BUY
3134A3U46,T45,TRSY1,100-037,3000000,BUY
3134A3U46,T46,TRSY2,100-07+,5000000,SELL
3134A3U46,T47,TRSY3,99-26+,2000000,BUY
3134A3U46,T48,TRSY3,100-160,8000000,BUY
3134A3U46,T49,TRSY1,100-283,4000000,BUY
3134A3U46,T50,TRSY3,99-245,7000000,BUY
3134A4KX1,T51,TRSY3,100-273,6000000,BUY
3134A4KX1,T52,TRSY2,100-100,9000000,SELL
3134A4KX1,T53,TRSY1,99-155,1000000,BUY
3134A4KX1,T54,TRSY1,100-10+,5000000,SELL
3134A4KX1,T55,TRSY1,99-163,4000000,BUY
3134A4KX1,T56,TRSY1,99-00+,4000000,BUY
3134A4KX1,T57,TRSY3,100-101,6000000,SELL
3134A4KX1,T58,TRSY1,101-000,2000000,BUY
3134A4KX1,T59,TRSY3,99-181,6000000,BUY
3134A4KX1,T60,TRSY1,100-23+,1000000,SELL
